"Source Name",Date/Time,"Device Make","Device Model","Device ID","Data Source"
SYSTEM,"2026-02-21 15:39:11 CET",,ROOT_HUB,"5&2891968b&0",pc_EmployeA.vhd
SYSTEM,"2026-02-21 15:39:11 CET",,ROOT_HUB20,"5&36a4b5d6&0",pc_EmployeA.vhd
SYSTEM,"2026-02-21 15:39:11 CET",,ROOT_HUB30,"5&11106705&0&0",pc_EmployeA.vhd
SYSTEM,"2026-02-21 15:43:12 CET","SanDisk Corp.","Ultra Flair","0101ea9b327d6d97d691f2b37eceda977f3e25573891094706b09cd6cd45ad57d31a000000000000000000006dcd0152008c770091558107a0b0224d",pc_EmployeA.vhd
SYSTEM,"2026-02-21 16:48:55 CET","Realtek Semiconductor Corp.","Card Reader",20120501030900000,pc_EmployeA.vhd
SYSTEM,"2026-02-21 17:01:36 CET","VMware, Inc.","Virtual USB Hub","6&39d724fe&0&7",pc_EmployeA.vhd
SYSTEM,"2026-02-21 17:01:37 CET","VMware, Inc.","Virtual USB Hub","6&39d724fe&0&8",pc_EmployeA.vhd
SYSTEM,"2026-02-21 15:39:11 CET","VMware, Inc.","Virtual Mouse","6&39d724fe&0&5",pc_EmployeA.vhd
SYSTEM,"2026-02-21 15:39:11 CET","VMware, Inc.","Virtual Mouse","7&bcbfcc2&0&0000",pc_EmployeA.vhd
SYSTEM,"2026-02-21 15:39:11 CET","VMware, Inc.","Virtual Mouse","7&bcbfcc2&0&0001",pc_EmployeA.vhd
SYSTEM,"2026-02-21 17:01:37 CET",MXT,"microSD CardReader",130818v01,pc_EmployeA.vhd
SYSTEM,"2026-02-21 15:39:11 CET",,ROOT_HUB,"5&2891968b&0",pc_EmployeA.vhd
SYSTEM,"2026-02-21 15:39:11 CET",,ROOT_HUB20,"5&36a4b5d6&0",pc_EmployeA.vhd
SYSTEM,"2026-02-21 15:39:11 CET",,ROOT_HUB30,"5&11106705&0&0",pc_EmployeA.vhd
SYSTEM,"2026-02-21 15:43:12 CET","SanDisk Corp.","Ultra Flair","0101ea9b327d6d97d691f2b37eceda977f3e25573891094706b09cd6cd45ad57d31a000000000000000000006dcd0152008c770091558107a0b0224d",pc_EmployeA.vhd
SYSTEM,"2026-02-21 16:48:55 CET","Realtek Semiconductor Corp.","Card Reader",20120501030900000,pc_EmployeA.vhd
SYSTEM,"2026-02-21 17:01:36 CET","VMware, Inc.","Virtual USB Hub","6&39d724fe&0&7",pc_EmployeA.vhd
SYSTEM,"2026-02-21 17:01:37 CET","VMware, Inc.","Virtual USB Hub","6&39d724fe&0&8",pc_EmployeA.vhd
SYSTEM,"2026-02-21 15:39:11 CET","VMware, Inc.","Virtual Mouse","6&39d724fe&0&5",pc_EmployeA.vhd
SYSTEM,"2026-02-21 15:39:11 CET","VMware, Inc.","Virtual Mouse","7&bcbfcc2&0&0000",pc_EmployeA.vhd
SYSTEM,"2026-02-21 15:39:11 CET","VMware, Inc.","Virtual Mouse","7&bcbfcc2&0&0001",pc_EmployeA.vhd
SYSTEM,"2026-02-21 17:01:37 CET",MXT,"microSD CardReader",130818v01,pc_EmployeA.vhd
